Log for:/media/bdupuis/1091_PhD_BD/Research projects/tdr2nrj/script/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2023-08-18T07:42:49Z
#=#=#=#=# Propagation starts 2023-08-18T07:42:49Z (last step: 458 msec , total: 458 msec) 
2023-08-18T07:43:00Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-1.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | 1d0104b8cf85f626ffa7eaa89eb9e9e5 | 44652 | 3247420310ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5ca352ec-1441-4eac-be1e-b18ea94f664b | 
2023-08-18T07:43:01Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-3.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | e6af828e0627ad98ef83067127ae3a3a | 44813 | 3247420346ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c8b023c2-eabe-4bb9-abf3-5d18eccafa0e | 
2023-08-18T07:43:03Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-5.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | 3342ac4c9fc45c7e0bc7e25e2a7ab01d | 46627 | 3247420382ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a04028db-d2e0-4507-ae81-a108f0a658d5 | 
2023-08-18T07:43:00Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-3-4.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178831 | 0526a1afe0fe3dce5125e8885a853329 | 43006 | 3247420362ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 75f86fe9-a78f-40bf-9fbe-a33edd23ca75 | 
2023-08-18T07:43:03Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-6.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | c3ef2e1930ba34fee3a37aaf66de67d3 | 43932 | 3247420398ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 99d90d43-a551-414a-b37b-0ec8c438d648 | 
2023-08-18T07:43:02Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-4.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | 3d8602b530e73aea99fc27bcc627d05d | 43558 | 3247420394ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f55cb1c7-46e6-49ef-a01c-cccbaaed932d | 
2023-08-18T07:43:04Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-8.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | b2186aa0d7a8672f3b0d79538d2f0da6 | 41111 | 3247420414ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0e1fae9e-0b30-476f-8a67-9c91c14924eb | 
2023-08-18T07:43:05Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-1.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 383a8ec090b1863427d79c702a180ee7 | 20115 | 3247420438ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5ad30747-0472-4427-b612-af8599f48927 | 
2023-08-18T07:43:06Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-11.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 003db62c59b101f5fbdb10a1a577cd7a | 33830 | 3247420450ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 357686cf-b49f-41f5-b747-9347a0fe5f3f | 
2023-08-18T07:43:04Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-4-7.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178832 | 4ccc1864cb0602d106c9cec46c821d21 | 43879 | 3247420462ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e8f2ad69-6428-4759-a881-90e625deec50 | 
2023-08-18T07:43:05Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-10.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | c9334b0be0f1dadd12c823334e2ec197 | 61048 | 3247420482ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0045917b-b817-4fa9-8cd3-5aa7081572dc | 
2023-08-18T07:43:07Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-12.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 5ca5dd8da60e93b39b67e199bd064d37 | 62830 | 3247420494ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ae7b9923-725a-498a-b30e-f069ff6bfcd7 | 
2023-08-18T07:43:08Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-15.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 809397ecd2fbfd3d746b2819c15ae35e | 28880 | 3247420514ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c12c522a-948a-4f06-b253-d2a424345779 | 
2023-08-18T07:43:09Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-16.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | e60403645e9061c25c577a4b55bce347 | 67300 | 3247420522ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f2d7cee8-bd93-4b75-83bc-f9e28c3dd3fe | 
2023-08-18T07:43:07Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-13.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | c125354994cd89078e9ac8efb00917aa | 78302 | 3247420530ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 25552960-2d69-42a6-a1c8-5efe5842bfb9 | 
2023-08-18T07:43:10Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-18.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 2bed17774418bc3272f6faaf19149c77 | 64994 | 3247420542ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | cfd004a9-e3f3-4e7f-a89f-c9dce2fb795b | 
2023-08-18T07:43:08Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-14.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | b3930d5c4d694c8b9ea4d2c8b96ce38c | 59576 | 3247420554ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b4c103f5-1a15-4259-a7fb-4ca782df8f5d | 
2023-08-18T07:43:13Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-22.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | c1446f7377acf4bac117e72b3f69f86c | 63470 | 3247420598ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a766f0ad-acc4-43e8-937e-6f5eccf591b7 | 
2023-08-18T07:43:12Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-20.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 1b8863031294187dd5aed0440731f0c4 | 62894 | 3247420594ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 78ff7b9b-1ba3-4808-b5c3-2650280e6edd | 
2023-08-18T07:43:13Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-21.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 25a9d07f3cecfe762dfe25ca4eec25f2 | 76341 | 3247420618ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fc104b50-29d8-4764-9a5b-86ed3a9bee35 | 
2023-08-18T07:43:12Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-2.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178840 | 01e53dd3bef18a5071cc6e491c073dc2 | 143063 | 3247420582ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 27966dcf-d051-46c0-b5da-1f54b9b36068 | 
2023-08-18T07:43:09Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-17.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | e7d691fedf7bba8f07bdaa2401f9dc59 | 80680 | 3247420626ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 8c236341-d4bf-47f7-8ca7-02a62fdf0a5a | 
2023-08-18T07:43:15Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-23.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 24e96183792557292f4ff09a195c9c46 | 34525 | 3247420666ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 40d9c5e8-c5e0-414e-b6ce-db67d671fa3d | 
2023-08-18T07:43:15Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-24.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | d2d1e17d71f2377e085240021ce097ed | 64427 | 3247420670ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 13eb2a7f-274b-4a84-8c1f-4b484c16d9cd | 
2023-08-18T07:43:16Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-27.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 0ce7e951e3c28fc74588f8fa67a0a776 | 30357 | 3247420686ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 099246e4-ed8c-4647-bc53-30ec469a8ac8 | 
2023-08-18T07:43:11Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-19.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | c752153b8672ab43b6994f01e0a626ac | 35061 | 3247420606ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 06390954-a1e6-47a1-a473-46bf7c44ab18 | 
2023-08-18T07:43:16Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-25.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | 1981d208fa935c0fb94402adb1755fb5 | 78981 | 3247420682ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 76f679ec-75fa-461e-8346-02066173cbff | 
2023-08-18T07:43:17Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-5-28.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178841 | bc7ba4d0a32b058f2e756d1a3ce8ae6c | 47707 | 3247420698ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2dc797ac-8a8d-4757-a5f1-88c647fb186f | 
